编号,类别,题名,年份,期刊/会议,主要内容,主要创新点/亮点,涉及模型/方法/可迁移点,代码/模型链接,DOI,论文链接,开放PDF链接,本地PDF路径,下载状态,引用数_OpenAlex
P011,口腔AI,A U‐Net Approach to Apical Lesion Segmentation on Panoramic Radiographs,2022,BioMed Research International,全景片根尖病损分割。,同属口腔病灶、边界细小模糊，适合迁移分割策略。,U-Net lesion segmentation；可迁移为基础分割 baseline。,,https://doi.org/10.1155/2022/7035367,https://doi.org/10.1155/2022/7035367,https://pdfs.semanticscholar.org/183a/ae4e3ce20a5845e96c7c4e4ddeb711c9a17b.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P011_2022_A_U_Net_Approach_to_Apical_Lesion_Segmentation_on_Panoramic_Radiographs.pdf,downloaded_fallback,75
P012,口腔AI,Deep Learning-Based Image Segmentation of Cone-Beam Computed Tomography Images for Oral Lesion Detection,2021,Journal of Healthcare Engineering,CBCT 口腔病灶检测/分割。,补足 3D/CBCT 模态，为术前多模态方案服务。,Deep segmentation for CBCT；可迁移到术前 3D ROI。,,https://doi.org/10.1155/2021/4603475,https://doi.org/10.1155/2021/4603475,https://pdfs.semanticscholar.org/5cfb/d4255a10d8060a132e6a9de720d3ff3b7f34.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P012_2021_Deep_Learning_Based_Image_Segmentation_of_Cone_Beam_Computed_Tomography_Images_for_Oral_Lesion_.pdf,downloaded_fallback,14
P013,口腔AI,Current applications and development of artificial intelligence for digital dental radiography,2021,Dentomaxillofacial Radiology,数字牙科影像 AI 应用综述。,给出牙科 X 光/CBCT AI 的任务分类与临床落地限制。,Review；用于报告背景和风险边界。,,https://doi.org/10.1259/dmfr.20210197,https://doi.org/10.1259/dmfr.20210197,https://repository.unair.ac.id/112259/5/19.%206%25%20Current%20applications%20and%20development%20of%20artificial%20intelligence%20for%20digital%20dental%20radiography.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P013_2021_Current_applications_and_development_of_artificial_intelligence_for_digital_dental_radiography.pdf,downloaded_fallback,198
P014,口腔AI,Evaluation of artificial intelligence for detecting periapical lesions on panoramic radiographs,2024,Balkan Journal of Dental Medicine,全景片根尖病变 AI 检测评估。,提供病灶检测评估思路。,AI detection；可迁移到标注质量和临床评估设计。,,https://doi.org/10.5937/bjdm2401064y,https://doi.org/10.5937/bjdm2401064y,https://scindeks-clanci.ceon.rs/data/pdf/2335-0245/2024/2335-02452401064Q.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P014_2024_Evaluation_of_artificial_intelligence_for_detecting_periapical_lesions_on_panoramic_radiographs.pdf,downloaded,4
P015,口腔AI,Tooth detection and numbering in panoramic radiographs using convolutional neural networks,2019,Dentomaxillofacial Radiology,全景片牙齿检测与编号。,可作为颌骨区域空间归一化、解剖定位模块。,CNN detection/numbering；可迁移为解剖坐标系统。,,https://doi.org/10.1259/dmfr.20180051,https://doi.org/10.1259/dmfr.20180051,https://europepmc.org/api/getPdf?pmcid=PMC6592580,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P015_2024_Evaluation_of_artificial_intelligence_for_detecting_periapical_lesions_on_panoramic_radiographs.pdf,downloaded_europepmc_pdf,461
P016,模型方法,U-Net: Convolutional Networks for Biomedical Image Segmentation,2015,Lecture notes in computer science,医学图像分割基础架构。,小样本医学分割最常用 baseline。,U-Net encoder-decoder + skip connection。,,https://doi.org/10.1007/978-3-319-24574-4_28,https://doi.org/10.1007/978-3-319-24574-4_28,https://link.springer.com/content/pdf/10.1007/978-3-319-24574-4_28.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P016_2019_Tooth_detection_and_numbering_in_panoramic_radiographs_using_convolutional_neural_networks.pdf,downloaded,88277
P017,模型方法,nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,2020,Nature Methods,自配置医学图像分割框架。,自动决定预处理、网络、训练策略，适合快速搭建可靠 baseline。,nnU-Net；https://github.com/MIC-DKFZ/nnUNet,https://github.com/MIC-DKFZ/nnUNet,https://doi.org/10.1038/s41592-020-01008-z,https://doi.org/10.1038/s41592-020-01008-z,https://arxiv.org/pdf/1904.08128,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P017_2020_nnU_Net_a_self_configuring_method_for_deep_learning_based_biomedical_image_segmentation.pdf,downloaded,8323
P018,模型方法,TransUNet: Transformers Make Strong Encoders for Medical Image Segmentation,2021,arXiv (Cornell University),Transformer 编码器结合 U-Net 进行医学分割。,兼顾局部纹理和全局上下文，适合边界模糊病灶。,TransUNet；https://github.com/Beckschen/TransUNet,https://github.com/Beckschen/TransUNet,https://doi.org/10.48550/arxiv.2102.04306,http://arxiv.org/abs/2102.04306,https://arxiv.org/pdf/2102.04306,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P018_2015_U_Net_Convolutional_Networks_for_Biomedical_Image_Segmentation.pdf,downloaded,3825
P019,模型方法,Swin UNETR: Swin Transformers for Semantic Segmentation of Brain Tumors in MRI Images,2022,arXiv (Cornell University),Swin Transformer 3D 医学分割模型。,强 3D 分割骨架，可用于术前 CBCT/MRI。,Swin UNETR/MONAI；https://github.com/Project-MONAI/research-contributions/tree/main/SwinUNETR,https://github.com/Project-MONAI/research-contributions/tree/main/SwinUNETR,https://doi.org/10.48550/arxiv.2201.01266,http://arxiv.org/abs/2201.01266,https://arxiv.org/pdf/2201.01266,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P019_2020_nnU_Net_a_self_configuring_method_for_deep_learning_based_biomedical_image_segmentation.pdf,downloaded,32
P020,模型方法,UNETR: Transformers for 3D Medical Image Segmentation,2022,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),Transformer 3D 医学分割框架。,直接面向 3D 体数据，适合 CT/CBCT/MRI。,UNETR/MONAI。,https://github.com/Project-MONAI/MONAI,https://doi.org/10.1109/wacv51458.2022.00181,https://doi.org/10.1109/wacv51458.2022.00181,https://openaccess.thecvf.com/content/WACV2022/papers/Hatamizadeh_UNETR_Transformers_for_3D_Medical_Image_Segmentation_WACV_2022_paper.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P020_2021_TransUNet_Transformers_Make_Strong_Encoders_for_Medical_Image_Segmentation.pdf,downloaded_fallback,2799
P021,模型方法,UNet++: Redesigning Skip Connections to Exploit Multiscale Features in Image Segmentation,2019,IEEE Transactions on Medical Imaging,改造 U-Net 跳连以利用多尺度特征。,对边界和尺度变化有帮助，可作为轻量增强 baseline。,UNet++ nested skip connections。,,https://doi.org/10.1109/tmi.2019.2959609,https://doi.org/10.1109/tmi.2019.2959609,https://www.cs.jhu.edu/~zongwei/publication/zhou2020unetplusplus.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P021_2022_Swin_UNETR_Swin_Transformers_for_Semantic_Segmentation_of_Brain_Tumors_in_MRI_Images.pdf,downloaded_fallback,4050
P022,模型方法,Segment anything in medical images,2024,Nature Communications,MedSAM 医学图像通用分割基础模型。,可用交互式提示快速生成 ROI，适合演示原型和少样本标注辅助。,MedSAM；https://github.com/bowang-lab/MedSAM,https://github.com/bowang-lab/MedSAM,https://doi.org/10.1038/s41467-024-44824-z,https://doi.org/10.1038/s41467-024-44824-z,https://www.nature.com/articles/s41467-024-44824-z.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P022_2022_UNETR_Transformers_for_3D_Medical_Image_Segmentation.pdf,downloaded,2315
P023,模型方法,Segment anything model for medical image analysis: An experimental study,2023,Medical Image Analysis,评估 SAM 在医学图像中的泛化能力。,帮助判断直接用 SAM/MedSAM 的边界和限制。,SAM evaluation；可作为基础模型可行性论证。,,https://doi.org/10.1016/j.media.2023.102918,https://doi.org/10.1016/j.media.2023.102918,https://arxiv.org/pdf/2304.10517,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P023_2019_UNet_Redesigning_Skip_Connections_to_Exploit_Multiscale_Features_in_Image_Segmentation.pdf,downloaded_fallback,686
P024,模型方法,Medical SAM Adapter: Adapting Segment Anything Model for Medical Image Segmentation,2023,arXiv (Cornell University),通过 adapter 改造 SAM 适配医学图像分割。,低成本微调基础模型，适合样本少的竞赛方案。,Medical SAM Adapter；https://github.com/KidsWithTokens/Medical-SAM-Adapter,https://github.com/KidsWithTokens/Medical-SAM-Adapter,https://doi.org/10.48550/arxiv.2304.12620,http://arxiv.org/abs/2304.12620,https://arxiv.org/pdf/2304.12620,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P024_2024_Segment_anything_in_medical_images.pdf,downloaded,223
P025,模型方法,The Medical Segmentation Decathlon,2022,Nature Communications,多器官/多模态医学分割基准。,说明一个通用分割系统如何跨任务评估。,MSD benchmark；可用于模型选择和评价指标借鉴。,,https://doi.org/10.1038/s41467-022-30695-9,https://doi.org/10.1038/s41467-022-30695-9,https://www.nature.com/articles/s41467-022-30695-9.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P025_2023_Segment_anything_model_for_medical_image_analysis_An_experimental_study.pdf,downloaded,1181
P026,模型方法,Structure Boundary Preserving Segmentation for Medical Image With Ambiguous Boundary,2020,,面向模糊边界的结构边界保持分割。,直接对应“病灶边界模糊”。,Boundary-preserving segmentation；可迁移为边界损失/边界分支。,,https://doi.org/10.1109/cvpr42600.2020.00487,https://doi.org/10.1109/cvpr42600.2020.00487,https://openaccess.thecvf.com/content_CVPR_2020/papers/Lee_Structure_Boundary_Preserving_Segmentation_for_Medical_Image_With_Ambiguous_Boundary_CVPR_2020_paper.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P026_2023_Medical_SAM_Adapter_Adapting_Segment_Anything_Model_for_Medical_Image_Segmentation.pdf,downloaded_fallback,151
P027,模型方法,Boundary-Weighted Domain Adaptive Neural Network for Prostate MR Image Segmentation,2019,IEEE Transactions on Medical Imaging,边界加权域适应分割。,对跨设备/跨中心成像差异有参考价值。,Boundary-weighted domain adaptation。,,https://doi.org/10.1109/tmi.2019.2935018,https://doi.org/10.1109/tmi.2019.2935018,https://arxiv.org/pdf/1902.08128,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P027_2022_The_Medical_Segmentation_Decathlon.pdf,downloaded,186
P028,模型方法,Stochastic Segmentation Networks: Modelling Spatially Correlated Aleatoric Uncertainty,2020,arXiv (Cornell University),建模空间相关的不确定性分割。,可把输出从硬分割升级成风险/不确定性热图。,Stochastic segmentation network；可迁移为术中风险提示。,,https://doi.org/10.48550/arxiv.2006.06015,http://arxiv.org/abs/2006.06015,https://arxiv.org/pdf/2006.06015,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P028_2020_Structure_Boundary_Preserving_Segmentation_for_Medical_Image_With_Ambiguous_Boundary.pdf,downloaded,79
P029,模型方法,A Review of Multimodal Medical Image Fusion Techniques,2020,Computational and Mathematical Methods in Medicine,多模态医学图像融合综述。,支撑白光/荧光/术前影像融合章节。,Fusion review；指标、层级、算法分类。,,https://doi.org/10.1155/2020/8279342,https://doi.org/10.1155/2020/8279342,https://pdfs.semanticscholar.org/43a9/8486141daebd48e5001ba5dc8b36a15679b6.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P029_2019_Boundary_Weighted_Domain_Adaptive_Neural_Network_for_Prostate_MR_Image_Segmentation.pdf,downloaded_fallback,204
P030,模型方法,EGNet: A boundary-region closed-loop network for medical image segmentation with fuzzy lesions,2026,Biomedical Signal Processing and Control,边界-区域闭环医学分割网络。,双分支边界提取和区域反馈，贴合模糊病灶边界。,EGNet；https://github.com/ITXIAOWU123/EGNet,https://github.com/ITXIAOWU123/EGNet,https://doi.org/10.1016/j.bspc.2026.109602,https://doi.org/10.1016/j.bspc.2026.109602,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P030_2020_Stochastic_Segmentation_Networks_Modelling_Spatially_Correlated_Aleatoric_Uncertainty.pdf,existing_local_copied,0
P031,模型方法,Fuzzy rough set loss for deep learning-based precise medical image segmentation,2026,Computerized Medical Imaging and Graphics,模糊粗糙集损失函数处理模糊边界与类别不平衡。,损失函数可直接接入 U-Net/nnU-Net/TransUNet 等模型。,FRS loss；https://github.com/MohsinFurkh/Fuzzy-Rough-Set-Loss,https://github.com/MohsinFurkh/Fuzzy-Rough-Set-Loss,https://doi.org/10.1016/j.compmedimag.2026.102716,https://doi.org/10.1016/j.compmedimag.2026.102716,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P031_2020_A_Review_of_Multimodal_Medical_Image_Fusion_Techniques.pdf,existing_local_copied,0
P032,模型方法,Retuve: Automated multi-modality analysis of hip dysplasia with open source AI,2025,Software Impacts,开源多模态医学影像分析框架。,提供数据、训练、权重、API 的可复现工程范式。,Segmentation + landmark detection；https://github.com/radoss-org/retuve,https://github.com/radoss-org/retuve,https://doi.org/10.1016/j.simpa.2025.100791,https://doi.org/10.1016/j.simpa.2025.100791,https://doi.org/10.1016/j.simpa.2025.100791,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P032_2026_EGNet_A_boundary_region_closed_loop_network_for_medical_image_segmentation_with_fuzzy_lesions.pdf,existing_local_copied,0
P033,ICG荧光,Clinical applications of indocyanine green (ICG) enhanced fluorescence in laparoscopic surgery,2014,Surgical Endoscopy,ICG 荧光在腹腔镜手术中的临床应用综述。,证明 ICG 已是成熟临床造影剂，可作为企业已有产品基础。,ICG NIR fluorescence workflow。,,https://doi.org/10.1007/s00464-014-3895-x,https://doi.org/10.1007/s00464-014-3895-x,https://link.springer.com/content/pdf/10.1007/s00464-014-3895-x.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P033_2026_Fuzzy_rough_set_loss_for_deep_learning_based_precise_medical_image_segmentation.pdf,downloaded,531
P034,ICG荧光,Review of fluorescence guided surgery systems: identification of key performance capabilities beyond indocyanine green imaging,2016,Journal of Biomedical Optics,荧光引导手术系统综述。,强调系统能力不仅是染料，还包括光源、相机、灵敏度、量化。,FGS system metrics；可映射显微镜参数。,,https://doi.org/10.1117/1.jbo.21.8.080901,https://doi.org/10.1117/1.jbo.21.8.080901,https://europepmc.org/api/getPdf?pmcid=PMC4985715,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P034_2025_Retuve_Automated_multi_modality_analysis_of_hip_dysplasia_with_open_source_AI.pdf,downloaded_europepmc_pdf,406
P035,ICG荧光,A practical guide for the use of indocyanine green and methylene blue in fluorescence‐guided abdominal surgery,2018,Journal of Surgical Oncology,ICG/亚甲蓝荧光手术实用指南。,提供剂量、时机、成像注意事项，适合方案实操章节。,ICG clinical protocol。,,https://doi.org/10.1002/jso.25105,https://doi.org/10.1002/jso.25105,https://rcastoragev2.blob.core.windows.net/004164c372720f6e949aff8145605360/PMC6175214.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P035_2014_Clinical_applications_of_indocyanine_green_ICG_enhanced_fluorescence_in_laparoscopic_surgery.pdf,downloaded_fallback,314
P036,ICG荧光,European Association for Endoscopic Surgery (EAES) consensus on Indocyanine Green (ICG) fluorescence-guided surgery,2023,Surgical Endoscopy,EAES ICG 荧光手术共识。,权威共识，可支撑“使用 ICG 做基础项目”的合理性。,Consensus/guideline。,,https://doi.org/10.1007/s00464-023-09928-5,https://doi.org/10.1007/s00464-023-09928-5,https://link.springer.com/content/pdf/10.1007/s00464-023-09928-5.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P036_2016_Review_of_fluorescence_guided_surgery_systems_identification_of_key_performance_capabilities_be.pdf,downloaded,109
P037,ICG荧光,&lt;p&gt;NIR fluorescence-guided tumor surgery: new strategies for the use of indocyanine green&lt;/p&gt;,2019,International Journal of Nanomedicine,ICG 在肿瘤 NIR 荧光手术中的新策略。,讨论 EPR、靶向化、给药时机等，可回应 ICG 特异性不足。,ICG strategy review。,,https://doi.org/10.2147/ijn.s207486,https://doi.org/10.2147/ijn.s207486,https://www.dovepress.com/article/download/48799,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P037_2018_A_practical_guide_for_the_use_of_indocyanine_green_and_methylene_blue_in_fluorescence_guided_ab.pdf,downloaded_fallback,213
P038,ICG荧光,NIR-II Fluorescent Probes for Fluorescence-Imaging-Guided Tumor Surgery,2024,Biosensors,NIR-II 荧光探针用于手术导航综述。,可作为“ICG 基础版 + 未来升级版”的技术展望。,NIR-II probes review。,,https://doi.org/10.3390/bios14060282,https://doi.org/10.3390/bios14060282,https://pdfs.semanticscholar.org/9bf8/93b7d6b840d0f9806ddc0f96ada21f3e26cb.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P038_2023_European_Association_for_Endoscopic_Surgery_EAES_consensus_on_Indocyanine_Green_ICG_fluorescenc.pdf,downloaded_fallback,33
P039,ICG荧光,Near-Infrared Fluorescence with Indocyanine Green to Assess Bone Perfusion: A Systematic Review,2022,Life,ICG 评估骨灌注系统综述。,与颌骨活性骨/坏死骨判别最贴近。,ICG bone perfusion imaging。,,https://doi.org/10.3390/life12020154,https://doi.org/10.3390/life12020154,https://pdfs.semanticscholar.org/3815/8631fb98081f9aef252b4edcff5e81b1a7bf.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P039_2019_lt_p_gt_NIR_fluorescence_guided_tumor_surgery_new_strategies_for_the_use_of_indocyanine_green_l.pdf,downloaded_fallback,9
P040,ICG荧光,Real-time identification of life-threatening necrotizing soft-tissue infections using indocyanine green fluorescence imaging,2024,Journal of Biomedical Optics,ICG 实时识别坏死性软组织感染。,从“血流灌注差异”角度区分坏死/感染组织。,ICG fluorescence perfusion/viability assessment。,,https://doi.org/10.1117/1.jbo.29.6.066003,https://doi.org/10.1117/1.jbo.29.6.066003,https://geiselmed.dartmouth.edu/student-research/wp-content/uploads/sites/103/2025/07/066003_1.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P040_2024_NIR_II_Fluorescent_Probes_for_Fluorescence_Imaging_Guided_Tumor_Surgery.pdf,downloaded_fallback,4
P041,ICG荧光,Current and Future Applications of Fluorescence Guidance in Orthopaedic Surgery,2022,Molecular Imaging and Biology,骨科荧光引导当前和未来应用。,把 ICG/荧光从肿瘤扩展到骨科/创伤场景。,Orthopaedic fluorescence guidance。,,https://doi.org/10.1007/s11307-022-01789-z,https://doi.org/10.1007/s11307-022-01789-z,https://geiselmed.dartmouth.edu/student-research/wp-content/uploads/sites/103/2025/07/s11307-022-01789-z.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P041_2022_Near_Infrared_Fluorescence_with_Indocyanine_Green_to_Assess_Bone_Perfusion_A_Systematic_Review.pdf,downloaded_fallback,16
P042,ICG荧光,Indocyanine-green-assisted near-infrared dental imaging - the feasibility of in vivo imaging and the optimization of imaging conditions,2019,Scientific Reports,ICG 辅助近红外牙科成像可行性和条件优化。,直接证明 ICG 可用于口腔/牙科近红外成像场景。,ICG dental NIR imaging。,,https://doi.org/10.1038/s41598-019-44660-y,https://doi.org/10.1038/s41598-019-44660-y,https://www.nature.com/articles/s41598-019-44660-y.pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P042_2024_Real_time_identification_of_life_threatening_necrotizing_soft_tissue_infections_using_indocyani.pdf,downloaded_fallback,13
P043,ICG荧光,Mouthwash as a non-invasive method of indocyanine green delivery for near-infrared fluorescence dental imaging,2022,Journal of Biomedical Optics,ICG 漱口液递送用于近红外牙科成像。,提示局部给药/非侵入递送路径。,ICG mouthwash delivery + dental NIR imaging。,,https://doi.org/10.1117/1.jbo.27.6.066001,https://doi.org/10.1117/1.jbo.27.6.066001,https://europepmc.org/api/getPdf?pmcid=PMC9186466,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P043_2022_Current_and_Future_Applications_of_Fluorescence_Guidance_in_Orthopaedic_Surgery.pdf,downloaded_europepmc_pdf,3
P044,ICG荧光,Deep-Learning-Based Cerebral Artery Semantic Segmentation in Neurosurgical Operating Microscope Vision Using Indocyanine Green Fluorescence Videoangiography,2022,Frontiers in Neurorobotics,显微镜 ICG 视频血管造影中的脑动脉语义分割。,最接近“显微镜 + ICG + AI 实时判读”的工程形态。,U-Net/semantic segmentation on ICG microscope video。,,https://doi.org/10.3389/fnbot.2021.735177,https://doi.org/10.3389/fnbot.2021.735177,https://www.frontiersin.org/articles/10.3389/fnbot.2021.735177/pdf,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P044_2019_Indocyanine_green_assisted_near_infrared_dental_imaging_the_feasibility_of_in_vivo_imaging_and_.pdf,downloaded_fallback,10
P045,AI方法,Current and Emerging Applications of Artificial Intelligence in Medical Imaging for Paediatric Hip Disorders-A Scoping Review.,2025,Children (Basel),,,,10.3390/children12050645,https://doi.org/10.3390/children12050645,,,C:\Users\876762330\Desktop\projects\osteo-vision\output\literature\papers\P045_2022_Mouthwash_as_a_non_invasive_method_of_indocyanine_green_delivery_for_near_infrared_fluorescence.pdf,downloaded
