candidate_id,name,official_url,access,license,scale_and_format,modalities_and_labels,recommended_use,domain_gap,priority
D059,HNSCC TCIA,https://www.cancerimagingarchive.net/collection/hnscc/,direct under TCIA policy,CC BY 3.0 and TCIA policy,"627 cases","head-neck CT; RT data; demographics; risk factors; stage; recurrence and survival","head-neck patient-level multimodal pipeline and calibration","oncology; no fluorescence; no viable-transition-necrotic bone truth",high
D060,Head-Neck-PET-CT TCIA,https://www.cancerimagingarchive.net/collection/head-neck-pet-ct/,direct under TCIA policy,TCIA policy,"298 cases from 4 institutions","FDG-PET/CT; planning CT; clinical outcome context","multicenter image fusion and center-bias evaluation","head-neck cancer; no osteomyelitis or bone-activity masks",medium
D061,ToothFairy2,https://toothfairy2.grand-challenge.org/dataset/,registration required,CC BY-SA,"0.3 mm isotropic CBCT; public training and private test sets","mandible; maxilla; teeth and other anatomical labels","jaw anatomy pretraining; 3D surface and CBCT coordinate pipeline","no verified demographics; no osteomyelitis; no necrotic/viable bone or fluorescence labels",high
D062,JLU-ONFH,https://github.com/sole12343/JLU-ONFH-Dataset,repository accessible; author permission recommended,no license declared,"14856 PNG files; 2335 original; 11071 segmentation/classification; 1448 typing","femoral-head osteonecrosis MRI-derived images and classification/typing organization","cross-domain bone-necrosis representation exploration","hip MRI; unclear pixel truth and patient mapping; no jaw or fluorescence",medium
D063,OFDVDnet original dataset,https://doi.org/10.5061/dryad.v6wwpzh3w,direct,CC0,"about 3.07 GB","paired visible and fluorescence surgical videos","dual-channel video processing; denoising; fusion and playback pipeline","non-jaw and non-osteomyelitis; already present as D046",existing
D064,Fluorescence-guided surgery denoising data and models,https://zenodo.org/records/11479346,direct,MIT,"low-photon and excitation-leakage resources","fluorescence video degradation and restoration resources","fluorescence denoising and quality-control validation","no jaw disease labels or clinical variables",medium
D065,Public ICG surgical supplementary videos,https://zenodo.org/records/14942607,direct,CC BY 4.0,"2 MP4 files","dynamic liver ICG perfusion video","MP4 engineering validation and temporal ICG-curve prototype","liver; non-bone; non-jaw",medium
D066,Cataract101 extended labels,https://zenodo.org/records/4984167,direct,CC BY 4.0,"frame-level surgical workflow labels","microscope video steps; surgeon identity/experience and timing context","structured context plus microscope-video data-contract proxy","ophthalmology; no fluorescence or bone labels",low
D067,SICS-155,https://zenodo.org/records/19482928,direct,CC BY-NC 4.0,"155 patients","microscope surgery videos and phase labels","microscope-video temporal modelling proxy","ophthalmology; no fluorescence; no bone labels",low
D068,MicroRGBD,https://zenodo.org/records/19680077,direct; record and paper should be rechecked before adoption,CC BY 4.0,"3586 stereo microscopic RGB pairs","registered depth; confidence maps; full calibration","microscope depth and geometry validation","2026 record; non-jaw; no fluorescence or CBCT",medium
D069,MMDental,https://doi.org/10.6084/m9.figshare.28505276,direct public,CC BY,"660 patients; 403 CBCT NIfTI volumes; one medical_records.csv with 12 fields","3D dental CBCT; sex; age; complaints; follow-up; present and past medical history; oral examination; diagnosis; treatment plan; management; doctor advice","jaw-domain image plus patient-context data contract; clinical conditioning; missing-data handling; patient-level multimodal validation","no osteomyelitis target labels; no fluorescence; no pixel segmentation masks; 403 CBCT volumes for 660 records",high
D070,Open-Full-Jaw,https://github.com/diku-dk/Open-Full-Jaw,direct via Git LFS,CC BY-NC-SA 4.0,"17 patient-specific computational jaw models","clinically validated segmented geometries; mandible; maxilla; teeth; PDL meshes; tooth principal axes; surface and volumetric meshes","jaw 3D object tree; surface inspection; mesh pipeline; patient-specific geometry and registration proxy","no osteomyelitis or necrosis labels; no fluorescence; no clinical table; repository focuses on derived geometries rather than operative target-domain data",medium
D071,KiTS23 patient conditioning starter,https://github.com/neheller/kits23,direct GitHub and Hugging Face,CC BY-NC-SA 4.0,"489 patients; full imaging about 39.22 GiB; starter downloads one 215.5 MiB CT","CT; kidney/tumor/cyst pixel masks; age; sex; BMI; comorbidities; smoking; alcohol; eGFR; tumor necrosis; stage and outcomes","patient-conditioned segmentation architecture; missing-value mask; grouped split; safety fallback","abdominal CT; no jaw; no fluorescence; no osteomyelitis",high
D072,HCC-TACE-Seg clinical context,https://www.cancerimagingarchive.net/collection/hcc-tace-seg/,direct clinical table; imaging through TCIA manifest,CC BY 4.0,"105 patients; imaging about 28.57 GB","multiphase CT and DICOM SEG; age; sex; diabetes; smoking; alcohol; hepatitis; cirrhosis; AFP and outcomes","blood-marker and comorbidity feature pipeline; patient-conditioned calibration proxy","liver cancer; no jaw; no fluorescence; no bone-activity labels",high
D073,NSCLC-Radiomics clinical context,https://www.cancerimagingarchive.net/collection/nsclc-radiomics/,direct clinical CSV; imaging through TCIA manifest,CC BY-NC 3.0,"422 patients; imaging about 35.78 GB","pretreatment CT; expert GTV contours; age; gender; TNM; histology and survival","larger-sample patient-conditioned calibration and subgroup audit proxy","lung cancer; no jaw; no fluorescence or bone labels",medium
D074,Fluorescence Guided Surgery computational assessment dataset,https://zenodo.org/records/15260349,direct,CC BY 4.0,"4 ZIP files; about 22.5 MB; 12 patients and 25 frames reported","5-ALA/PPIX microscope fluorescence and non-fluorescence controls; surgeon logical masks","weak-fluorescence gray-zone; surgeon disagreement; mask and abstention engineering","brain tumor surgery; no jaw; no bone-activity or ICG truth",high
D075,MRONJ clinical and laboratory context,https://data.mendeley.com/datasets/f6yxfvkr4c/1,direct,CC BY 4.0,"one XLSX; 261512 bytes","MRONJ demographics; medication; clinical features; lesion distribution; surgery and perioperative routine laboratory data","target-condition-near clinical feature dictionary and missing-data engineering","no paired image or pixel mask; cannot validate spatial conditioning",high
D076,SERV-CT simplified validation dataset,https://doi.org/10.5522/04/26352199,direct,CC BY 4.0,"simplified ZIP 36.8 MB; full package 389.6 MB","16 stereo endoscopic pairs; cone-beam CT surface; calibration; disparity; depth and occlusion labels","L1 static camera calibration; CT-surface correspondence; reprojection and transform-chain validation","ex vivo porcine non-jaw scene; no fluorescence; no clinical navigation claim",high
D093,MRONJ SPECT/CT published figure release,https://data.mendeley.com/datasets/7x7dxvg8cc/1,direct,CC BY 4.0,"2 figure files; JPEG and TIFF; 1280x720 each; 520064 raw bytes","one diagnostic ROC plot; one multiplanar SPECT/CT composite with visual jaw and lesion ROI contours plus SUV table","target-condition-near SPECT/CT layout review; ROI-table extraction checks; evidence-boundary validation","published figures only; no raw DICOM; no paired white-light or ICG; no patient inventory; no machine-readable pixel labels",medium
D094,ClinRad ORNJ patient context,https://doi.org/10.6084/m9.figshare.28292186.v2,direct public,CC BY 4.0,"53 anonymized human ORNJ records; one 19198-byte XLSX; 12 fields","age; sex; treatment context; Watson stage and grade; CT/CBCT/panoramic and exposed-bone interpretation text","target-condition-near clinical feature dictionary; patient-level grouping; weak severity labels; patient-conditioning safety-boundary audit","no raw CT/CBCT; no operative white-light or fluorescence; no ROI coordinates; no pixel masks; no pathology mapping",high
D095,MDACC ORNJ time-to-event context,https://doi.org/10.6084/m9.figshare.26240435.v1,direct public,CC BY 4.0,"1129 anonymized head-and-neck radiotherapy records; one 403524-byte CSV; 61 complete fields","age; sex; smoking; treatment; ORN status and event time; Tsai grade 0-4; mandible dose-volume features","patient-context schema; grouped evaluation; weak ordinal labels; subgroup audit and no-harm gate design","no raw CT; no mandible masks; no operative white-light or fluorescence; no bone-activity labels; no navigation coordinates",high
D096,EndmemberNet SWIR live-mammal multispectral dataset,https://zenodo.org/records/15253459,direct,CC BY 4.0,"preprocessed data.tar.gz 18.30 GB plus exampledata.zip 6.08 GB; raw preprocess_data.zip 6.98 GB","SWIR multispectral live-mammal images; binary masks for tumor intestine colon MLN-source-label and vessel","NIR-II/SWIR encoder pretraining; tumor-mask segmentation; spectral unmixing","animal and non-jaw; released segmentation loader does not establish synchronized RGB pairing; no osteomyelitis or bone-surface labels",high
D097,Deep Learning-Assisted NIR-IIb sO2 Imaging starter,https://github.com/ZhongLab2020/NIR-IIb_sO2_UNet,direct; permission required,no license declared,"18 TIFF image-mask pairs; 16 train and 2 validation","1500-1700 nm NIR-IIb intestinal vascular images; binary vessel masks","NIR-IIb preprocessing and segmentation smoke; patch tiling and metric checks","non-jaw vessel proxy; provenance incomplete; no lesion RGB or bone labels; formal training blocked pending permission",medium
D098,NIR-II vascular synthesis dataset from Scientific Reports 2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC11861915/,author request,available on reasonable request,"406 real NIR-II patches and 792 retinal-mask patches; 128x128; 7:3 split","unpaired real NIR-II vascular patches plus DRIVE STARE and CHASE_DB1 masks","NIR-II style augmentation and unpaired domain adaptation","mouse QD vascular imaging; no lesion masks or RGB pairing; no public direct download",medium
D099,MamUNet human-brain NIR-II vessel dataset,https://doi.org/10.1109/ISBI60581.2025.10981261,paper or author request,not stated,"human-brain NIR-II vessel dataset scale not disclosed in public abstract","human-brain NIR-II fluorescence images with vessel-segmentation evaluation","human NIR-II vessel representation and segmentation benchmark if released","no public data link confirmed; vessel target only; no jaw osteomyelitis lesion mask",medium
D100,AACR neuroblastoma multispectral NIR-I SWIR fluorescence-guided surgery data,https://doi.org/10.1158/0008-5472.c.6678649.v2,direct supplementary collection,CC BY 4.0,"paper figures supplementary data and fluorescence-guided resection video","paired-device NIR-I and SWIR tumor imaging; subcutaneous neuroblastoma resection video; no machine-readable masks","surgical lesion frame extraction; cross-channel registration; doctor-reviewed tumor-mask seed","preclinical subcutaneous tumor; raw data by author request; non-jaw and non-infection",high
D101,DOLPHIN NIR-II hyperspectral and hyperdiffuse sample data,https://zenodo.org/records/4957897,direct,CC0,"HSC 4.01 GB and HDC 3.32 GB 7z archives plus readmes","NIR-II hyperspectral and diffuse imaging sample data for deep-tissue probe detection and reconstruction","spectral calibration; depth robustness; signal reconstruction and modality pretraining","phantom and whole-animal probe tracking; no lesion masks or paired surgical RGB",medium
