"编号","类别","题名","年份","期刊/会议","主要内容","主要创新点/亮点","涉及模型/方法/可迁移点","代码/模型链接","DOI","论文链接","开放PDF链接","本地PDF路径","下载状态","引用数_OpenAlex","相关度"
"P011","口腔AI","A U‐Net Approach to Apical Lesion Segmentation on Panoramic Radiographs","2022","BioMed Research International","全景片根尖病损分割。","同属口腔病灶、边界细小模糊，适合迁移分割策略。","U-Net lesion segmentation；可迁移为基础分割 baseline。","","https://doi.org/10.1155/2022/7035367","https://doi.org/10.1155/2022/7035367","https://pdfs.semanticscholar.org/183a/ae4e3ce20a5845e96c7c4e4ddeb711c9a17b.pdf","","link_only_no_local_pdf","75","可选"
"P012","口腔AI","Deep Learning-Based Image Segmentation of Cone-Beam Computed Tomography Images for Oral Lesion Detection","2021","Journal of Healthcare Engineering","CBCT 口腔病灶检测/分割。","补足 3D/CBCT 模态，为术前多模态方案服务。","Deep segmentation for CBCT；可迁移到术前 3D ROI。","","https://doi.org/10.1155/2021/4603475","https://doi.org/10.1155/2021/4603475","https://pdfs.semanticscholar.org/5cfb/d4255a10d8060a132e6a9de720d3ff3b7f34.pdf","","link_only_no_local_pdf","14","低相关"
"P013","口腔AI","Current applications and development of artificial intelligence for digital dental radiography","2021","Dentomaxillofacial Radiology","数字牙科影像 AI 应用综述。","给出牙科 X 光/CBCT AI 的任务分类与临床落地限制。","Review；用于报告背景和风险边界。","","https://doi.org/10.1259/dmfr.20210197","https://doi.org/10.1259/dmfr.20210197","https://repository.unair.ac.id/112259/5/19.%206%25%20Current%20applications%20and%20development%20of%20artificial%20intelligence%20for%20digital%20dental%20radiography.pdf","","link_only_no_local_pdf","198","低相关"
"P014","口腔AI","Evaluation of artificial intelligence for detecting periapical lesions on panoramic radiographs","2024","Balkan Journal of Dental Medicine","全景片根尖病变 AI 检测评估。","提供病灶检测评估思路。","AI detection；可迁移到标注质量和临床评估设计。","","https://doi.org/10.5937/bjdm2401064y","https://doi.org/10.5937/bjdm2401064y","https://scindeks-clanci.ceon.rs/data/pdf/2335-0245/2024/2335-02452401064Q.pdf","","link_only_no_local_pdf","4","低相关"
"P015","口腔AI","Tooth detection and numbering in panoramic radiographs using convolutional neural networks","2019","Dentomaxillofacial Radiology","全景片牙齿检测与编号。","可作为颌骨区域空间归一化、解剖定位模块。","CNN detection/numbering；可迁移为解剖坐标系统。","","https://doi.org/10.1259/dmfr.20180051","https://doi.org/10.1259/dmfr.20180051","https://europepmc.org/api/getPdf?pmcid=PMC6592580","","link_only_no_local_pdf","461","可选"
"P016","模型方法","U-Net: Convolutional Networks for Biomedical Image Segmentation","2015","Lecture notes in computer science","医学图像分割基础架构。","小样本医学分割最常用 baseline。","U-Net encoder-decoder + skip connection。","","https://doi.org/10.1007/978-3-319-24574-4_28","https://doi.org/10.1007/978-3-319-24574-4_28","https://link.springer.com/content/pdf/10.1007/978-3-319-24574-4_28.pdf","","link_only_no_local_pdf","88277","核心"
"P017","模型方法","nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation","2020","Nature Methods","自配置医学图像分割框架。","自动决定预处理、网络、训练策略，适合快速搭建可靠 baseline。","nnU-Net；https://github.com/MIC-DKFZ/nnUNet","https://github.com/MIC-DKFZ/nnUNet","https://doi.org/10.1038/s41592-020-01008-z","https://doi.org/10.1038/s41592-020-01008-z","https://arxiv.org/pdf/1904.08128","","link_only_no_local_pdf","8323","核心"
"P018","模型方法","TransUNet: Transformers Make Strong Encoders for Medical Image Segmentation","2021","arXiv (Cornell University)","Transformer 编码器结合 U-Net 进行医学分割。","兼顾局部纹理和全局上下文，适合边界模糊病灶。","TransUNet；https://github.com/Beckschen/TransUNet","https://github.com/Beckschen/TransUNet","https://doi.org/10.48550/arxiv.2102.04306","http://arxiv.org/abs/2102.04306","https://arxiv.org/pdf/2102.04306","","link_only_no_local_pdf","3825","重要"
"P019","模型方法","Swin UNETR: Swin Transformers for Semantic Segmentation of Brain Tumors in MRI Images","2022","arXiv (Cornell University)","Swin Transformer 3D 医学分割模型。","强 3D 分割骨架，可用于术前 CBCT/MRI。","Swin UNETR/MONAI；https://github.com/Project-MONAI/research-contributions/tree/main/SwinUNETR","https://github.com/Project-MONAI/research-contributions/tree/main/SwinUNETR","https://doi.org/10.48550/arxiv.2201.01266","http://arxiv.org/abs/2201.01266","https://arxiv.org/pdf/2201.01266","","link_only_no_local_pdf","32","低相关"
"P020","模型方法","UNETR: Transformers for 3D Medical Image Segmentation","2022","2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)","Transformer 3D 医学分割框架。","直接面向 3D 体数据，适合 CT/CBCT/MRI。","UNETR/MONAI。","https://github.com/Project-MONAI/MONAI","https://doi.org/10.1109/wacv51458.2022.00181","https://doi.org/10.1109/wacv51458.2022.00181","https://openaccess.thecvf.com/content/WACV2022/papers/Hatamizadeh_UNETR_Transformers_for_3D_Medical_Image_Segmentation_WACV_2022_paper.pdf","","link_only_no_local_pdf","2799","低相关"
"P021","模型方法","UNet++: Redesigning Skip Connections to Exploit Multiscale Features in Image Segmentation","2019","IEEE Transactions on Medical Imaging","改造 U-Net 跳连以利用多尺度特征。","对边界和尺度变化有帮助，可作为轻量增强 baseline。","UNet++ nested skip connections。","","https://doi.org/10.1109/tmi.2019.2959609","https://doi.org/10.1109/tmi.2019.2959609","https://www.cs.jhu.edu/~zongwei/publication/zhou2020unetplusplus.pdf","","link_only_no_local_pdf","4050","可选"
"P022","模型方法","Segment anything in medical images","2024","Nature Communications","MedSAM 医学图像通用分割基础模型。","可用交互式提示快速生成 ROI，适合演示原型和少样本标注辅助。","MedSAM；https://github.com/bowang-lab/MedSAM","https://github.com/bowang-lab/MedSAM","https://doi.org/10.1038/s41467-024-44824-z","https://doi.org/10.1038/s41467-024-44824-z","https://www.nature.com/articles/s41467-024-44824-z.pdf","","link_only_no_local_pdf","2315","重要"
"P023","模型方法","Segment anything model for medical image analysis: An experimental study","2023","Medical Image Analysis","评估 SAM 在医学图像中的泛化能力。","帮助判断直接用 SAM/MedSAM 的边界和限制。","SAM evaluation；可作为基础模型可行性论证。","","https://doi.org/10.1016/j.media.2023.102918","https://doi.org/10.1016/j.media.2023.102918","https://arxiv.org/pdf/2304.10517","","link_only_no_local_pdf","686","低相关"
"P024","模型方法","Medical SAM Adapter: Adapting Segment Anything Model for Medical Image Segmentation","2023","arXiv (Cornell University)","通过 adapter 改造 SAM 适配医学图像分割。","低成本微调基础模型，适合样本少的竞赛方案。","Medical SAM Adapter；https://github.com/KidsWithTokens/Medical-SAM-Adapter","https://github.com/KidsWithTokens/Medical-SAM-Adapter","https://doi.org/10.48550/arxiv.2304.12620","http://arxiv.org/abs/2304.12620","https://arxiv.org/pdf/2304.12620","","link_only_no_local_pdf","223","低相关"
"P025","模型方法","The Medical Segmentation Decathlon","2022","Nature Communications","多器官/多模态医学分割基准。","说明一个通用分割系统如何跨任务评估。","MSD benchmark；可用于模型选择和评价指标借鉴。","","https://doi.org/10.1038/s41467-022-30695-9","https://doi.org/10.1038/s41467-022-30695-9","https://www.nature.com/articles/s41467-022-30695-9.pdf","","link_only_no_local_pdf","1181","低相关"
"P026","模型方法","Structure Boundary Preserving Segmentation for Medical Image With Ambiguous Boundary","2020","","面向模糊边界的结构边界保持分割。","直接对应“病灶边界模糊”。","Boundary-preserving segmentation；可迁移为边界损失/边界分支。","","https://doi.org/10.1109/cvpr42600.2020.00487","https://doi.org/10.1109/cvpr42600.2020.00487","https://openaccess.thecvf.com/content_CVPR_2020/papers/Lee_Structure_Boundary_Preserving_Segmentation_for_Medical_Image_With_Ambiguous_Boundary_CVPR_2020_paper.pdf","","link_only_no_local_pdf","151","重要"
"P027","模型方法","Boundary-Weighted Domain Adaptive Neural Network for Prostate MR Image Segmentation","2019","IEEE Transactions on Medical Imaging","边界加权域适应分割。","对跨设备/跨中心成像差异有参考价值。","Boundary-weighted domain adaptation。","","https://doi.org/10.1109/tmi.2019.2935018","https://doi.org/10.1109/tmi.2019.2935018","https://arxiv.org/pdf/1902.08128","","link_only_no_local_pdf","186","低相关"
"P028","模型方法","Stochastic Segmentation Networks: Modelling Spatially Correlated Aleatoric Uncertainty","2020","arXiv (Cornell University)","建模空间相关的不确定性分割。","可把输出从硬分割升级成风险/不确定性热图。","Stochastic segmentation network；可迁移为术中风险提示。","","https://doi.org/10.48550/arxiv.2006.06015","http://arxiv.org/abs/2006.06015","https://arxiv.org/pdf/2006.06015","","link_only_no_local_pdf","79","核心"
"P029","模型方法","A Review of Multimodal Medical Image Fusion Techniques","2020","Computational and Mathematical Methods in Medicine","多模态医学图像融合综述。","支撑白光/荧光/术前影像融合章节。","Fusion review；指标、层级、算法分类。","","https://doi.org/10.1155/2020/8279342","https://doi.org/10.1155/2020/8279342","https://pdfs.semanticscholar.org/43a9/8486141daebd48e5001ba5dc8b36a15679b6.pdf","","link_only_no_local_pdf","204","重要"
"P030","模型方法","EGNet: A boundary-region closed-loop network for medical image segmentation with fuzzy lesions","2026","Biomedical Signal Processing and Control","边界-区域闭环医学分割网络。","双分支边界提取和区域反馈，贴合模糊病灶边界。","EGNet；https://github.com/ITXIAOWU123/EGNet","https://github.com/ITXIAOWU123/EGNet","https://doi.org/10.1016/j.bspc.2026.109602","https://doi.org/10.1016/j.bspc.2026.109602","","","link_only_no_local_pdf","0","核心"
"P031","模型方法","Fuzzy rough set loss for deep learning-based precise medical image segmentation","2026","Computerized Medical Imaging and Graphics","模糊粗糙集损失函数处理模糊边界与类别不平衡。","损失函数可直接接入 U-Net/nnU-Net/TransUNet 等模型。","FRS loss；https://github.com/MohsinFurkh/Fuzzy-Rough-Set-Loss","https://github.com/MohsinFurkh/Fuzzy-Rough-Set-Loss","https://doi.org/10.1016/j.compmedimag.2026.102716","https://doi.org/10.1016/j.compmedimag.2026.102716","","","link_only_no_local_pdf","0","核心"
"P032","模型方法","Retuve: Automated multi-modality analysis of hip dysplasia with open source AI","2025","Software Impacts","开源多模态医学影像分析框架。","提供数据、训练、权重、API 的可复现工程范式。","Segmentation + landmark detection；https://github.com/radoss-org/retuve","https://github.com/radoss-org/retuve","https://doi.org/10.1016/j.simpa.2025.100791","https://doi.org/10.1016/j.simpa.2025.100791","https://doi.org/10.1016/j.simpa.2025.100791","","link_only_no_local_pdf","0","低相关"
"P033","ICG荧光","Clinical applications of indocyanine green (ICG) enhanced fluorescence in laparoscopic surgery","2014","Surgical Endoscopy","ICG 荧光在腹腔镜手术中的临床应用综述。","证明 ICG 已是成熟临床造影剂，可作为企业已有产品基础。","ICG NIR fluorescence workflow。","","https://doi.org/10.1007/s00464-014-3895-x","https://doi.org/10.1007/s00464-014-3895-x","https://link.springer.com/content/pdf/10.1007/s00464-014-3895-x.pdf","","link_only_no_local_pdf","531","低相关"
"P034","ICG荧光","Review of fluorescence guided surgery systems: identification of key performance capabilities beyond indocyanine green imaging","2016","Journal of Biomedical Optics","荧光引导手术系统综述。","强调系统能力不仅是染料，还包括光源、相机、灵敏度、量化。","FGS system metrics；可映射显微镜参数。","","https://doi.org/10.1117/1.jbo.21.8.080901","https://doi.org/10.1117/1.jbo.21.8.080901","https://europepmc.org/api/getPdf?pmcid=PMC4985715","","link_only_no_local_pdf","406","可选"
"P035","ICG荧光","A practical guide for the use of indocyanine green and methylene blue in fluorescence‐guided abdominal surgery","2018","Journal of Surgical Oncology","ICG/亚甲蓝荧光手术实用指南。","提供剂量、时机、成像注意事项，适合方案实操章节。","ICG clinical protocol。","","https://doi.org/10.1002/jso.25105","https://doi.org/10.1002/jso.25105","https://rcastoragev2.blob.core.windows.net/004164c372720f6e949aff8145605360/PMC6175214.pdf","","link_only_no_local_pdf","314","可选"
"P036","ICG荧光","European Association for Endoscopic Surgery (EAES) consensus on Indocyanine Green (ICG) fluorescence-guided surgery","2023","Surgical Endoscopy","EAES ICG 荧光手术共识。","权威共识，可支撑“使用 ICG 做基础项目”的合理性。","Consensus/guideline。","","https://doi.org/10.1007/s00464-023-09928-5","https://doi.org/10.1007/s00464-023-09928-5","https://link.springer.com/content/pdf/10.1007/s00464-023-09928-5.pdf","","link_only_no_local_pdf","109","核心"
"P037","ICG荧光","&lt;p&gt;NIR fluorescence-guided tumor surgery: new strategies for the use of indocyanine green&lt;/p&gt;","2019","International Journal of Nanomedicine","ICG 在肿瘤 NIR 荧光手术中的新策略。","讨论 EPR、靶向化、给药时机等，可回应 ICG 特异性不足。","ICG strategy review。","","https://doi.org/10.2147/ijn.s207486","https://doi.org/10.2147/ijn.s207486","https://www.dovepress.com/article/download/48799","","link_only_no_local_pdf","213","可选"
"P038","ICG荧光","NIR-II Fluorescent Probes for Fluorescence-Imaging-Guided Tumor Surgery","2024","Biosensors","NIR-II 荧光探针用于手术导航综述。","可作为“ICG 基础版 + 未来升级版”的技术展望。","NIR-II probes review。","","https://doi.org/10.3390/bios14060282","https://doi.org/10.3390/bios14060282","https://pdfs.semanticscholar.org/9bf8/93b7d6b840d0f9806ddc0f96ada21f3e26cb.pdf","","link_only_no_local_pdf","33","可选"
"P039","ICG荧光","Near-Infrared Fluorescence with Indocyanine Green to Assess Bone Perfusion: A Systematic Review","2022","Life","ICG 评估骨灌注系统综述。","与颌骨活性骨/坏死骨判别最贴近。","ICG bone perfusion imaging。","","https://doi.org/10.3390/life12020154","https://doi.org/10.3390/life12020154","https://pdfs.semanticscholar.org/3815/8631fb98081f9aef252b4edcff5e81b1a7bf.pdf","","link_only_no_local_pdf","9","核心"
"P040","ICG荧光","Real-time identification of life-threatening necrotizing soft-tissue infections using indocyanine green fluorescence imaging","2024","Journal of Biomedical Optics","ICG 实时识别坏死性软组织感染。","从“血流灌注差异”角度区分坏死/感染组织。","ICG fluorescence perfusion/viability assessment。","","https://doi.org/10.1117/1.jbo.29.6.066003","https://doi.org/10.1117/1.jbo.29.6.066003","https://geiselmed.dartmouth.edu/student-research/wp-content/uploads/sites/103/2025/07/066003_1.pdf","","link_only_no_local_pdf","4","可选"
"P041","ICG荧光","Current and Future Applications of Fluorescence Guidance in Orthopaedic Surgery","2022","Molecular Imaging and Biology","骨科荧光引导当前和未来应用。","把 ICG/荧光从肿瘤扩展到骨科/创伤场景。","Orthopaedic fluorescence guidance。","","https://doi.org/10.1007/s11307-022-01789-z","https://doi.org/10.1007/s11307-022-01789-z","https://geiselmed.dartmouth.edu/student-research/wp-content/uploads/sites/103/2025/07/s11307-022-01789-z.pdf","","link_only_no_local_pdf","16","可选"
"P042","ICG荧光","Indocyanine-green-assisted near-infrared dental imaging - the feasibility of in vivo imaging and the optimization of imaging conditions","2019","Scientific Reports","ICG 辅助近红外牙科成像可行性和条件优化。","直接证明 ICG 可用于口腔/牙科近红外成像场景。","ICG dental NIR imaging。","","https://doi.org/10.1038/s41598-019-44660-y","https://doi.org/10.1038/s41598-019-44660-y","https://www.nature.com/articles/s41598-019-44660-y.pdf","","link_only_no_local_pdf","13","核心"
"P043","ICG荧光","Mouthwash as a non-invasive method of indocyanine green delivery for near-infrared fluorescence dental imaging","2022","Journal of Biomedical Optics","ICG 漱口液递送用于近红外牙科成像。","提示局部给药/非侵入递送路径。","ICG mouthwash delivery + dental NIR imaging。","","https://doi.org/10.1117/1.jbo.27.6.066001","https://doi.org/10.1117/1.jbo.27.6.066001","https://europepmc.org/api/getPdf?pmcid=PMC9186466","","link_only_no_local_pdf","3","重要"
"P044","ICG荧光","Deep-Learning-Based Cerebral Artery Semantic Segmentation in Neurosurgical Operating Microscope Vision Using Indocyanine Green Fluorescence Videoangiography","2022","Frontiers in Neurorobotics","显微镜 ICG 视频血管造影中的脑动脉语义分割。","最接近“显微镜 + ICG + AI 实时判读”的工程形态。","U-Net/semantic segmentation on ICG microscope video。","","https://doi.org/10.3389/fnbot.2021.735177","https://doi.org/10.3389/fnbot.2021.735177","https://www.frontiersin.org/articles/10.3389/fnbot.2021.735177/pdf","","link_only_no_local_pdf","10","核心"
"P045","AI方法","Current and Emerging Applications of Artificial Intelligence in Medical Imaging for Paediatric Hip Disorders-A Scoping Review.","2025","Children (Basel)","","","","10.3390/children12050645","https://doi.org/10.3390/children12050645","","","","link_only_no_local_pdf","低相关","低相关"
"P046","相关方法","The bone marrow endothelial progenitor cell response to septic infection.","2024","Front Immunol","","","","10.3389/fimmu.2024.1368099","https://doi.org/10.3389/fimmu.2024.1368099","","","","link_only_no_local_pdf","低相关","低相关"
"P047","病种影像","Targeting endoplasmic reticulum stress-induced lymphatic dysfunction for mitigating bisphosphonate-related osteonecrosis.","2024","Clin Transl Med","","","","10.1002/ctm2.70082","https://doi.org/10.1002/ctm2.70082","","","","link_only_no_local_pdf","低相关","低相关"
"P048","相关方法","Large-Scale assessment of ChatGPT's performance in benign and malignant bone tumors imaging report diagnosis and its potential for clinical applications.","2024","J Bone Oncol","","","","10.1016/j.jbo.2024.100525","https://doi.org/10.1016/j.jbo.2024.100525","","","","link_only_no_local_pdf","低相关","低相关"
"P049","病种影像","Differentiation of Native Vertebral Osteomyelitis: A Comprehensive Review of Imaging Techniques and Future Applications.","2024","Med Sci Monit","","","","10.12659/MSM.943168","https://doi.org/10.12659/MSM.943168","","","","link_only_no_local_pdf","低相关","低相关"
"P050","AI方法","Differential Diagnosis of Diabetic Foot Osteomyelitis and Charcot Neuropathic Osteoarthropathy with Deep Learning Methods.","2024","J Imaging Inform Med","","","","10.1007/s10278-024-01067-0","https://doi.org/10.1007/s10278-024-01067-0","","","","link_only_no_local_pdf","低相关","低相关"
"P051","ICG荧光","Fluorescence-guided assessment of bone and soft-tissue sarcomas for predicting the efficacy of telomerase-specific oncolytic adenovirus.","2024","PLoS One","","","","10.1371/journal.pone.0298292","https://doi.org/10.1371/journal.pone.0298292","","","","link_only_no_local_pdf","可选","可选"
"P052","ICG荧光","Application of Indocyanine Green Fluorescence Imaging in Assisting Biopsy of Musculoskeletal Tumors.","2023","Cancers (Basel)","","","","10.3390/cancers15082402","https://doi.org/10.3390/cancers15082402","","","","link_only_no_local_pdf","可选","可选"
"P053","AI方法","Machine Learning Algorithm: Texture Analysis in CNO and Application in Distinguishing CNO and Bone Marrow Growth-Related Changes on Whole-Body MRI.","2023","Diagnostics (Basel)","","","","10.3390/diagnostics14010061","https://doi.org/10.3390/diagnostics14010061","","","","link_only_no_local_pdf","低相关","低相关"
"P054","AI方法","Application of symmetry evaluation to deep learning algorithm in detection of mastoiditis on mastoid radiographs.","2023","Sci Rep","","","","10.1038/s41598-023-32147-w","https://doi.org/10.1038/s41598-023-32147-w","","","","link_only_no_local_pdf","低相关","低相关"
"P055","ICG荧光","Insights into S. aureus-Induced Bone Deformation in a Mouse Model of Chronic Osteomyelitis Using Fluorescence and Raman Imaging.","2023","Int J Mol Sci","","","","10.3390/ijms24119762","https://doi.org/10.3390/ijms24119762","","","","link_only_no_local_pdf","重要","重要"
"P056","AI方法","Automated segmentation of magnetic resonance bone marrow signal: a feasibility study.","2022","Pediatr Radiol","","","","10.1007/s00247-021-05270-x","https://doi.org/10.1007/s00247-021-05270-x","","","","link_only_no_local_pdf","低相关","低相关"
"P057","AI方法","Automated description of the mandible shape by deep learning.","2021","Int J Comput Assist Radiol Surg","","","","10.1007/s11548-021-02474-2","https://doi.org/10.1007/s11548-021-02474-2","","","","link_only_no_local_pdf","低相关","低相关"
"P058","AI方法","Performance of deep learning to detect mastoiditis using multiple conventional radiographs of mastoid.","2020","PLoS One","","","","10.1371/journal.pone.0241796","https://doi.org/10.1371/journal.pone.0241796","","","","link_only_no_local_pdf","低相关","低相关"
"P059","ICG荧光","The application of fluorescence techniques in meningioma surgery-a review.","2019","Neurosurg Rev","","","","10.1007/s10143-018-01062-4","https://doi.org/10.1007/s10143-018-01062-4","","","","link_only_no_local_pdf","低相关","低相关"
"P060","ICG荧光","吲哚菁绿荧光显像技术在骨与软组织肿瘤治疗中的应用进展（综述）","2026","中国骨与关节杂志","综述ICG荧光显像在骨与软组织肿瘤治疗中的应用。涵盖GCT/骨肉瘤/Ewing肉瘤/脊柱肿瘤/软组织肉瘤/转移性骨肿瘤术中应用、骨髓炎辅助诊断、靶向ICG偶联物和NIR-II成像未来方向。","直接论证ICG在骨肿瘤术中应用的安全性和有效性；提到ICG在骨髓炎诊断中的实验性应用；提供ICG剂量和成像系统参数汇总。","ICG近红外荧光成像+骨肿瘤手术导航+骨髓炎诊断+AI融合展望。","","https://doi.org/10.3969/j.issn.2095-252X.2026.01.007","https://doi.org/10.3969/j.issn.2095-252X.2026.01.007","","","link_only_no_local_pdf","","重要"
